DBN,Number of Test Takers,NUMBER OF CLASSES.max,TOTAL REGISTER.max,AVERAGE CLASS SIZE.max,SIZE OF SMALLEST CLASS.max,SIZE OF LARGEST CLASS.max,NUMBER OF CLASSES.min,TOTAL REGISTER.min,AVERAGE CLASS SIZE.min,SIZE OF SMALLEST CLASS.min,SIZE OF LARGEST CLASS.min,NUMBER OF CLASSES.mean,TOTAL REGISTER.mean,AVERAGE CLASS SIZE.mean,SIZE OF SMALLEST CLASS.mean,SIZE OF LARGEST CLASS.mean,SCHOOLWIDE PUPIL-TEACHER RATIO,DISTRICT,PEER INDEX*,2009-2010 OVERALL GRADE,2009-2010 OVERALL SCORE,2009-2010 ENVIRONMENT CATEGORY SCORE,2009-2010 ENVIRONMENT GRADE,2009-2010 PERFORMANCE CATEGORY SCORE,2009-2010 PERFORMANCE GRADE,2009-2010 PROGRESS CATEGORY SCORE,2009-2010 PROGRESS GRADE,2009-2010 ADDITIONAL CREDIT,2008-09 PROGRESS REPORT GRADE,COUNT PARTICIPANTS,COUNT FEMALE,PERCENT FEMALE,COUNT MALE,PERCENT MALE,COUNT GENDER UNKNOWN,PERCENT GENDER UNKNOWN,COUNT GENDER TOTAL,PERCENT GENDER TOTAL,COUNT PACIFIC ISLANDER,COUNT HISPANIC LATINO,PERCENT HISPANIC LATINO,COUNT AMERICAN INDIAN,PERCENT AMERICAN INDIAN,COUNT ASIAN NON HISPANIC,PERCENT ASIAN NON HISPANIC,COUNT WHITE NON HISPANIC,PERCENT WHITE NON HISPANIC,COUNT BLACK NON HISPANIC,PERCENT BLACK NON HISPANIC,COUNT OTHER ETHNICITY,PERCENT OTHER ETHNICITY,COUNT ETHNICITY UNKNOWN,PERCENT ETHNICITY UNKNOWN,COUNT ETHNICITY TOTAL,PERCENT ETHNICITY TOTAL,COUNT PERMANENT RESIDENT ALIEN,PERCENT PERMANENT RESIDENT ALIEN,COUNT US CITIZEN,PERCENT US CITIZEN,COUNT OTHER CITIZEN STATUS,PERCENT OTHER CITIZEN STATUS,COUNT CITIZEN STATUS UNKNOWN,PERCENT CITIZEN STATUS UNKNOWN,COUNT CITIZEN STATUS TOTAL,PERCENT CITIZEN STATUS TOTAL,COUNT RECEIVES PUBLIC ASSISTANCE,PERCENT RECEIVES PUBLIC ASSISTANCE,COUNT NRECEIVES PUBLIC ASSISTANCE,PERCENT NRECEIVES PUBLIC ASSISTANCE,COUNT PUBLIC ASSISTANCE UNKNOWN,PERCENT PUBLIC ASSISTANCE UNKNOWN,COUNT PUBLIC ASSISTANCE TOTAL,PERCENT PUBLIC ASSISTANCE TOTAL,YTD % Attendance (Avg),YTD Enrollment(Avg)
K462,50,13.0,346.0,33.0,31.0,34.0,1.0,6.0,6.0,6.0,6.0,2.764705882352941,65.17647058823529,20.308823529411764,17.529411764705884,22.470588235294116,12.6,15.0,2.51,C,51.1,8.6,C,12.2,C,28.8,C,1.5,C,63,51,0.81,12,0.19,0,0,63,100,0,2,0.03,0,0.0,1,0.02,47,0.75,5,0.08,8,0.13,0,0.0,63,100,3,0.05,60,0.95,0,0.0,0,0,63,100,23,0.37,40,0.63,0,0,63,100,91.27,26786
K463,75,11.0,239.0,31.5,30.0,33.0,1.0,8.0,3.3,3.0,4.0,3.0833333333333335,67.58333333333333,20.84166666666667,17.25,24.333333333333332,13.0,15.0,2.34,B,68.3,7.7,C,16.9,B,43.7,A,0.0,C,63,51,0.81,12,0.19,0,0,63,100,0,2,0.03,0,0.0,1,0.02,47,0.75,5,0.08,8,0.13,0,0.0,63,100,3,0.05,60,0.95,0,0.0,0,0,63,100,23,0.37,40,0.63,0,0,63,100,91.27,26786
K464,65,8.0,205.0,32.0,32.0,33.0,1.0,6.0,6.0,6.0,6.0,2.7037037037037037,65.77777777777777,22.64444444444444,21.25925925925926,24.0,13.6,15.0,2.28,C,47.3,8.9,B,15.2,B,23.2,F,0.0,B,63,51,0.81,12,0.19,0,0,63,100,0,2,0.03,0,0.0,1,0.02,47,0.75,5,0.08,8,0.13,0,0.0,63,100,3,0.05,60,0.95,0,0.0,0,0,63,100,23,0.37,40,0.63,0,0,63,100,91.27,26786
K497,45,9.0,169.0,31.5,31.0,33.0,1.0,9.0,9.0,9.0,9.0,3.125,59.166666666666664,18.083333333333336,15.375,20.791666666666668,12.7,15.0,2.31,B,67.3,6.2,D,15.2,B,44.4,A,1.5,A,63,51,0.81,12,0.19,0,0,63,100,0,2,0.03,0,0.0,1,0.02,47,0.75,5,0.08,8,0.13,0,0.0,63,100,3,0.05,60,0.95,0,0.0,0,0,63,100,23,0.37,40,0.63,0,0,63,100,91.27,26786
K519,44,16.0,436.0,61.0,61.0,61.0,1.0,12.0,12.0,10.0,12.0,3.4545454545454546,92.48484848484848,25.26363636363637,21.606060606060606,28.21212121212121,14.4,15.0,1.93,B,65.6,8.5,C,13.0,C,39.6,B,4.5,B,63,51,0.81,12,0.19,0,0,63,100,0,2,0.03,0,0.0,1,0.02,47,0.75,5,0.08,8,0.13,0,0.0,63,100,3,0.05,60,0.95,0,0.0,0,0,63,100,23,0.37,40,0.63,0,0,63,100,91.27,26786
K530,17,7.0,188.0,35.0,35.0,39.0,1.0,12.0,11.0,10.0,12.0,2.7586206896551726,67.58620689655173,22.89655172413794,20.0,25.586206896551722,15.7,15.0,2.03,C,48.0,7.5,C,8.3,F,27.7,D,4.5,D,63,51,0.81,12,0.19,0,0,63,100,0,2,0.03,0,0.0,1,0.02,47,0.75,5,0.08,8,0.13,0,0.0,63,100,3,0.05,60,0.95,0,0.0,0,0,63,100,23,0.37,40,0.63,0,0,63,100,91.27,26786
K656,71,14.0,408.0,31.4,28.0,34.0,1.0,26.0,20.0,13.0,24.0,7.125,192.6875,26.293750000000003,18.9375,32.25,17.2,15.0,2.87,C,56.5,8.4,C,10.1,D,38.0,B,0.0,B,63,51,0.81,12,0.19,0,0,63,100,0,2,0.03,0,0.0,1,0.02,47,0.75,5,0.08,8,0.13,0,0.0,63,100,3,0.05,60,0.95,0,0.0,0,0,63,100,23,0.37,40,0.63,0,0,63,100,91.27,26786
K393,29,5.0,123.0,30.0,30.0,31.0,1.0,18.0,18.0,14.0,18.0,2.4594594594594597,57.729729729729726,23.57837837837838,21.62162162162162,25.324324324324323,14.1,16.0,2.44,B,62.6,6.2,D,17.9,A,37.0,B,1.5,D,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,85.55,10196
K455,143,66.0,1680.0,34.0,34.0,37.0,1.0,14.0,11.4,10.0,13.0,11.636363636363637,271.6969696969697,21.18787878787879,14.242424242424242,26.181818181818183,14.5,16.0,1.79,C,49.4,6.7,D,8.7,F,34.0,C,0.0,D,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,85.55,10196
K498,34,10.0,291.0,33.7,33.0,35.0,1.0,11.0,11.0,10.0,11.0,3.95,102.3,22.380000000000003,17.6,26.6,20.9,16.0,1.97,A,78.5,11.7,A,15.7,B,48.1,A,3.0,A,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,85.55,10196
